5306,1,5
19601,1,5
31275,1,4
33977,1,5
40821,1,3
41444,1,3
62814,1,4
71919,1,4
75451,1,4
80318,1,6
88264,1,4
88631,1,4
91445,1,4
95099,1,4
95892,1,3
1612,2,5
3097,2,4
9270,2,5
14930,2,4
15845,2,5
29057,2,4
30094,2,5
38738,2,4
38806,2,4
49706,2,4
51544,2,4
74606,2,5
77483,2,4
81894,2,4
95088,2,4
3673,3,5
4458,3,6
7914,3,6
12004,3,6
14668,3,6
18542,3,4
29560,3,4
50233,3,6
51419,3,6
54626,3,3
64083,3,4
67297,3,4
76162,3,5
91193,3,5
94839,3,5
11602,4,4
14171,4,5
17821,4,5
38520,4,4
48490,4,5
49517,4,4
49519,4,5
61964,4,4
68574,4,4
71010,4,4
72192,4,4
75174,4,4
76579,4,4
80015,4,4
99382,4,4
3360,5,4
5611,5,5
20042,5,4
25089,5,5
29088,5,5
40612,5,4
42311,5,4
55539,5,4
57822,5,4
66316,5,4
72011,5,5
76310,5,4
84934,5,4
92393,5,4
94531,5,3
422,6,4
696,6,5
1517,6,5
29654,6,4
30884,6,5
32199,6,3
36683,6,4
39502,6,4
46438,6,4
49330,6,4
67924,6,3
81317,6,4
82156,6,4
90498,6,4
92838,6,4
