1,29654_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,29654_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,29654_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,29654_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,29654_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,29654_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,29654_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, inform,NONE
1,29654_full_dialog.pkl,SARA, ack,,inform,PR, USER, affirm,NONE
1,29654_full_dialog.pkl,SARA, ack,VSN,request,HE, USER, negate,NONE
1,29654_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,29654_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
