1,14668_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,QESD
1,14668_full_dialog.pkl,SARA, ack,SD,introduce,QESD, USER, inform,NONE
1,14668_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,14668_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,14668_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,14668_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,14668_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, inform,HE
1,14668_full_dialog.pkl,SARA, ack,,inform,PR, USER, affirm,PR
1,14668_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,NONE
1,14668_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,14668_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
