1,29057_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,29057_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,SD
1,29057_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,29057_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,29057_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,HE
1,29057_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, inform,HE
1,29057_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,HE
1,29057_full_dialog.pkl,SARA, ack,SD,inform,QESD, USER, negate,SD
1,29057_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,HE
1,29057_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,29057_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
