1,90498_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,NONE
1,90498_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,90498_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,90498_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,90498_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,SD
1,90498_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,90498_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, request,NONE
1,90498_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,NONE
1,90498_full_dialog.pkl,SARA, ack,,inform,SD, USER, negate,NONE
1,90498_full_dialog.pkl,SARA, ack,,request,HE, USER, inform,SD
1,90498_full_dialog.pkl,SARA, ack,,request,PR, USER, negate,NONE
1,90498_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,90498_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
