1,67297_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,PR
1,67297_full_dialog.pkl,SARA, ack,NONE,introduce,QESD, USER, inform,NONE
1,67297_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,67297_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,67297_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,67297_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,67297_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, request,NONE
1,67297_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,PR
1,67297_full_dialog.pkl,SARA, ack,,inform,PR, USER, affirm,PR
1,67297_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,67297_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,67297_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
