1,1612_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,1612_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,SD
1,1612_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,1612_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,1612_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,HE
1,1612_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,HE
1,1612_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, inform,HE
1,1612_full_dialog.pkl,SARA, ack,SD,inform,QESD, USER, negate,HE
1,1612_full_dialog.pkl,SARA, ack,NONE,request,NONE, USER, negate,HE
1,1612_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,1612_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
