1,38738_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,38738_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, inform,NONE
1,38738_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,38738_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,38738_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,HE
1,38738_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,HE
1,38738_full_dialog.pkl,SARA, ack,SD,inform,QESD, USER, request,NONE
1,38738_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,PR
1,38738_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,HE
1,38738_full_dialog.pkl,SARA, ack,NONE,request,NONE, USER, negate,HE
1,38738_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,38738_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
