1,19601_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,19601_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,SD
1,19601_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,19601_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,19601_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,HE
1,19601_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,HE
1,19601_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,HE
1,19601_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,SD
1,19601_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,NONE
1,19601_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,19601_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
