1,82156_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,82156_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, affirm,NONE
1,82156_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,82156_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,82156_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,SD
1,82156_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, negate,SD
1,82156_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, negate,SD
1,82156_full_dialog.pkl,SARA, ack,VSN,inform,PR, USER, inform,NONE
1,82156_full_dialog.pkl,SARA, ack,,inform,SD, USER, affirm,NONE
1,82156_full_dialog.pkl,SARA, ack,PR,request,QESD, USER, negate,NONE
1,82156_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,82156_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
