1,49330_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,NONE
1,49330_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,49330_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,49330_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,49330_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,49330_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,49330_full_dialog.pkl,SARA, ack,PR,inform,SD, USER, inform,NONE
1,49330_full_dialog.pkl,SARA, ack,,inform,PR, USER, negate,NONE
1,49330_full_dialog.pkl,SARA, ack,,request,HE, USER, inform,SD
1,49330_full_dialog.pkl,SARA, ack,,request,PR, USER, negate,NONE
1,49330_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,49330_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
