1,62814_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,62814_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,SD
1,62814_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,62814_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,62814_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,HE
1,62814_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,HE
1,62814_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,HE
1,62814_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,HE
1,62814_full_dialog.pkl,SARA, ack,,request,NONE, USER, affirm,PR
1,62814_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,HE
1,62814_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,HE
1,62814_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,62814_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
