1,74606_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,74606_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,SD
1,74606_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,74606_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,74606_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,HE
1,74606_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,HE
1,74606_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,HE
1,74606_full_dialog.pkl,SARA, ack,SD,inform,QESD, USER, inform,HE
1,74606_full_dialog.pkl,SARA, ack,,inform,QESD, USER, affirm,PR
1,74606_full_dialog.pkl,SARA, ack,NONE,request,NONE, USER, negate,NONE
1,74606_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,74606_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
