1,3673_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,QESD
1,3673_full_dialog.pkl,SARA, ack,SD,introduce,QESD, USER, affirm,SD
1,3673_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,3673_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,3673_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,3673_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,3673_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,3673_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, affirm,PR
1,3673_full_dialog.pkl,SARA, ack,VSN,request,SD, USER, affirm,PR
1,3673_full_dialog.pkl,SARA, ack,PR,inform,VSN, USER, negate,HE
1,3673_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, negate,HE
1,3673_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,3673_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
