11602,4,1,0,0,0,0,0,7,0,5,0,0,5,0,7,0,0
12004,6,0,2,0,6,2,0,1,6,4,2,0,2,0,5,4,2
14171,5,1,0,0,0,0,0,8,0,6,0,0,6,0,8,0,0
14668,6,0,1,0,3,3,0,3,3,3,2,0,2,0,5,3,1
14930,4,0,4,0,2,0,0,2,6,2,1,0,5,0,6,0,0
1517,5,1,2,0,1,2,2,6,0,6,0,0,2,0,5,5,0
15845,5,0,4,0,2,0,0,2,7,2,0,0,5,0,6,0,0
1612,5,0,4,0,3,0,0,1,7,3,0,0,5,0,6,0,0
17821,5,1,0,0,0,0,0,8,0,6,0,0,6,0,8,0,0
18542,4,0,1,0,0,0,0,3,0,1,0,0,1,0,3,0,0
19601,5,0,0,0,0,0,0,2,5,4,0,0,5,0,6,0,0
20042,4,1,1,0,0,0,0,4,0,0,0,0,3,0,1,0,0
25089,5,1,6,0,0,0,0,8,0,4,0,0,6,0,6,0,0
29057,4,0,3,0,3,0,0,1,6,4,0,0,5,0,6,0,0
29088,5,1,7,0,0,0,0,8,0,7,0,0,6,0,9,0,0
29560,4,0,2,0,6,2,0,1,6,4,2,0,2,0,4,5,2
29654,4,1,1,0,2,2,1,7,0,4,0,0,2,1,4,3,1
30094,5,0,3,0,2,0,0,2,6,3,1,0,6,0,6,0,0
30884,5,1,1,0,1,2,1,7,0,6,0,0,3,1,5,4,0
3097,4,0,4,0,2,0,0,2,7,2,0,0,5,0,6,0,0
31275,4,0,0,0,0,0,0,1,7,4,1,0,6,0,7,0,0
32199,3,1,1,0,0,0,0,3,0,1,0,0,1,0,3,0,0
3360,4,1,1,0,0,0,0,4,0,0,0,0,3,1,0,0,0
33977,5,0,0,0,0,0,0,1,6,3,1,0,5,0,6,0,0
36683,4,1,1,0,3,2,1,6,0,5,0,0,2,0,4,4,1
3673,5,0,1,0,5,3,1,1,6,4,2,0,2,0,5,5,1
38520,4,1,0,0,0,0,0,8,0,5,0,0,6,0,7,0,0
38738,4,0,4,0,2,0,0,3,5,2,2,0,6,0,6,0,0
