1,76162_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,PR
1,76162_full_dialog.pkl,SARA, ack,NONE,introduce,QESD, USER, affirm,SD
1,76162_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,76162_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,76162_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,HE
1,76162_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,76162_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,76162_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, negate,SD
1,76162_full_dialog.pkl,SARA, ack,,request,PR, USER, negate,HE
1,76162_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,76162_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
