1,84934_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,NONE
1,84934_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, inform,NONE
1,84934_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,84934_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,84934_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, inform,SD
1,84934_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,SD
1,84934_full_dialog.pkl,SARA, ack,NONE,inform,QESD, USER, request,NONE
1,84934_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,NONE
1,84934_full_dialog.pkl,SARA, ack,,inform,QESD, USER, affirm,NONE
1,84934_full_dialog.pkl,SARA, ack,NONE,request,NONE, USER, negate,NONE
1,84934_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,84934_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
