1,48490_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,NONE
1,48490_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, inform,NONE
1,48490_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,48490_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,48490_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,48490_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,48490_full_dialog.pkl,SARA, ack,,inform,QESD, USER, request,NONE
1,48490_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,NONE
1,48490_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,NONE
1,48490_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,48490_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,NONE
1,48490_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,48490_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
