1,696_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,696_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,696_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,696_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,696_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,SD
1,696_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, negate,SD
1,696_full_dialog.pkl,SARA, ack,VSN,inform,SD, USER, inform,NONE
1,696_full_dialog.pkl,SARA, ack,,inform,PR, USER, negate,NONE
1,696_full_dialog.pkl,SARA, ack,,request,SD, USER, inform,SD
1,696_full_dialog.pkl,SARA, ack,,request,SD, USER, negate,NONE
1,696_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,696_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
