1,81317_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,81317_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, inform,NONE
1,81317_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,81317_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,81317_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,81317_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,81317_full_dialog.pkl,SARA, ack,PR,inform,VSN, USER, request,NONE
1,81317_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,NONE
1,81317_full_dialog.pkl,SARA, ack,,inform,PR, USER, affirm,NONE
1,81317_full_dialog.pkl,SARA, ack,SD,request,HE, USER, negate,NONE
1,81317_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,81317_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
