1,51419_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,51419_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, affirm,SD
1,51419_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,51419_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,51419_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,51419_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,51419_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,51419_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, negate,HE
1,51419_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, affirm,PR
1,51419_full_dialog.pkl,SARA, ack,PR,inform,VSN, USER, affirm,PR
1,51419_full_dialog.pkl,SARA, ack,PR,request,QESD, USER, negate,NONE
1,51419_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,51419_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
