1,7914_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,7914_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,7914_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,7914_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,7914_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,7914_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,7914_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, inform,HE
1,7914_full_dialog.pkl,SARA, ack,,inform,PR, USER, affirm,SD
1,7914_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,NONE
1,7914_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,7914_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
