1,92838_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,92838_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, inform,NONE
1,92838_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,92838_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,92838_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,SD
1,92838_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,92838_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, inform,NONE
1,92838_full_dialog.pkl,SARA, ack,,inform,PR, USER, negate,NONE
1,92838_full_dialog.pkl,SARA, ack,,request,HE, USER, inform,SD
1,92838_full_dialog.pkl,SARA, ack,,request,PR, USER, negate,NONE
1,92838_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,92838_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
