1,5306_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,HE
1,5306_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, inform,NONE
1,5306_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,5306_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,5306_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,HE
1,5306_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,HE
1,5306_full_dialog.pkl,SARA, ack,,inform,QESD, USER, inform,HE
1,5306_full_dialog.pkl,SARA, ack,,inform,QESD, USER, negate,SD
1,5306_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,NONE
1,5306_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,5306_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
