1,67924_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,NONE
1,67924_full_dialog.pkl,SARA, ack,,introduce,SD, USER, affirm,NONE
1,67924_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,67924_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,67924_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,67924_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,67924_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,67924_full_dialog.pkl,SARA, ack,VSN,inform,SD, USER, affirm,NONE
1,67924_full_dialog.pkl,SARA, ack,VSN,request,HE, USER, negate,NONE
1,67924_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,67924_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
