1,54626_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,QESD
1,54626_full_dialog.pkl,SARA, ack,SD,introduce,QESD, USER, affirm,SD
1,54626_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,54626_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,54626_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,54626_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,54626_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,HE
1,54626_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, negate,HE
1,54626_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, negate,HE
1,54626_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,54626_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
