1,30884_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,30884_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, inform,NONE
1,30884_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,30884_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,30884_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,30884_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,SD
1,30884_full_dialog.pkl,SARA, ack,VSN,inform,PR, USER, request,NONE
1,30884_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,NONE
1,30884_full_dialog.pkl,SARA, ack,,inform,SD, USER, negate,NONE
1,30884_full_dialog.pkl,SARA, ack,,request,HE, USER, inform,SD
1,30884_full_dialog.pkl,SARA, ack,,request,PR, USER, negate,NONE
1,30884_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,30884_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
