1,64083_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,64083_full_dialog.pkl,SARA, ack,,introduce,SD, USER, inform,NONE
1,64083_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,64083_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,64083_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,64083_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,64083_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, request,NONE
1,64083_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,PR
1,64083_full_dialog.pkl,SARA, ack,,inform,SD, USER, affirm,SD
1,64083_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,64083_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,64083_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
