1,46438_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,46438_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, inform,NONE
1,46438_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,46438_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,46438_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,46438_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,SD
1,46438_full_dialog.pkl,SARA, ack,NONE,inform,PR, USER, inform,NONE
1,46438_full_dialog.pkl,SARA, ack,,inform,SD, USER, affirm,NONE
1,46438_full_dialog.pkl,SARA, ack,PR,request,QESD, USER, negate,NONE
1,46438_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,46438_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
