1,91193_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,PR
1,91193_full_dialog.pkl,SARA, ack,NONE,introduce,SD, USER, affirm,SD
1,91193_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,91193_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,91193_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,91193_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,91193_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,91193_full_dialog.pkl,SARA, ack,SD,inform,PR, USER, affirm,HE
1,91193_full_dialog.pkl,SARA, ack,NONE,request,HE, USER, negate,HE
1,91193_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,91193_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
