1,50233_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,PR
1,50233_full_dialog.pkl,SARA, ack,NONE,introduce,QESD, USER, inform,NONE
1,50233_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,50233_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,50233_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,50233_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,50233_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, inform,HE
1,50233_full_dialog.pkl,SARA, ack,,inform,SD, USER, affirm,HE
1,50233_full_dialog.pkl,SARA, ack,NONE,request,VSN, USER, negate,HE
1,50233_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,50233_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
